artist_name,title,description,permalink,user_tags,clusters
Charles Avery,"Untitled (Waiters dancing with Itinerants, Onomatopoeia)"," Since 2005, Charles Avery has devoted his practice to the perpetual description of a fictional island. Replete with its own population and constantly shifting topography, Avery’s intricately conceived project amounts to an ever-expanding body of drawings, sculptures, installations and texts which evince the island. Exhibited incrementally these heterogeneous elements serve as terms within the unifying structure of the island – as multiple emissions of an imaginary state, and as a meditation on the central themes of philosophy and the problems of art-making. The ultimate destination of Avery’s epic venture is the documentation of this ‘heterotopia’ in a book of many volumes. Avery is one of a number of artists who have promoted a return to narrative. The Kadist Foundation Collection also owns a fictive map by Avery. 
 This drawing is a medium-sized work in which Avery depicts an event taking place on the island close to the Labour Exchange down by the port. In essence he depicts a dance-off between waiters and itinerant workers who are looking for work on the island. The idea comes from his own experience as a 16 year-old in Italy where he met a Spaniard who had danced his way from Spain to Italy, earning money in the street by doing so. Avery teamed up with him and became the hat carrier, money collector. Avery sees this kind of drawing as a companion to the large architectural views that show the principal buildings on the island and distant views of people. It is as though he is zooming in on a particular incident caught at the edge of a camera lens. The island is of course fictional but it is nevertheless a credible place, a little like Second Life, where characters act out their lives. In fact people are beginning to use the scenarios in their teaching work as though they were real and exemplary of certain true life situations. If there is a fantastical element at all it is redolent of  Jabberwocky , Lewis Carroll’s celebrated poem, which has been an important text for Avery. Avery is creating a world which could well be a place on this planet, an island off the coast of his native Scotland, for example, which can be visited by tourists (essentially the role of the viewer) or by those who want to stay there indefinitely (the role of the characters in the drawings). 
",https://kadist.org/work/untitled-waiters-dancing-with-itinerants-onomatopoeia/,"credible.a.01,event.n.01,fabricated.s.01,island.n.01,reality.n.02,documentation.n.01","Time, Imagination"
Daniel Keller,Soft Staycation (Gaze Track Edit)," To make the video installation  Soft Staycation (Gaze Track Edit) , the artist, playing the role of ‘job creator’, hired a group of unemployed and expat freelancers through Craigslist to watch a 30 minute compilation of national tourism ads. These ads, which are generally sponsored by various publicly funded tourism boards and screened in airports for example, were found on the Internet by Keller. He used a gaze-tracking camera to measure the eye movements of the people participating in the experiment. Despite the relentlessness of the source, the subjects define zones of attention that the camera records. 
 Instead of using the gathered gaze data for any specific research purpose, the consumptive gaze is transmuted onto the video itself, creating an ensemble of light spots and shadows. The film is screened on a large LED screen, the same kind used for advertisement purposes. By staging a typical marketing study, the artist points out the persisting automatisms of consumer-spectators, while the flexible LED curtain makes it quite a sculptural and hypnotic piece. 
",https://kadist.org/work/soft-staycation-gaze-track-edit/,"marketing.n.02,technology.n.01,track.v.02,tourism.n.01,data.n.01,gaze.n.01","Technology, Economy"
Michal Chelbin,Strangely familiar: Angelina with her father," Michal Chelbin’s staged yet intimate portrait photographs, seduce the viewer into uncomfortable, voyeuristic complicity with the camera. Several works represent adolescent girls on the verge of sexual consciousness, their bodies still that of a child while their gaze directly confronts the viewer implying differently. Michal Chelbin shoots in a format of utter stability-the square. She positions her subjects well within the frame where visual clarity prevails. Angelina and her father, Israel belongs to the “Strangely Familiar” series where she shifted form shooting in the studio to the outside world, from theatrical to found light. In this work, an athletic but vulnerable-looking man holds his daughter in front of a swamp, poised as if offering her to the viewer.  
Though the photographs remain staged and her efforts directorial, Chelbin has sublimated the work’s mythic aspects by exploring a world of characters that lend themselves readily to the romantic-the world of athletes, ballroom dancers, and performers in small traveling shows and circuses, mostly in Eastern Europe, but also in Israel and England. With little supporting information to go on, we reflexively fill in the blanks and ride the images’ narrative momentum wherever it leads. Much of the time taking us to places steeped in discontinuity, incongruity, ambiguity. Places of subtle, underlying tension between the odd and the ordinary. 
",https://kadist.org/work/strangely-familiar-angelina-with-her-father/,"voyeurism.n.01,gaze.n.01,adolescent.n.01,fatherhood.n.01,pose.n.02,stagy.s.01","Body, Identity, Community"
Guy Ben-Ner,Wild Boy,"  Wild Boy   is the story of the education of Amir, the artists son. Ben-Ner plays the educators part, trying to domesticate the child. Using the metaphor of the wild child is Ben-Ners homage to this recurring theme in literature and cinema: from Edgar Rice Burroughs « Tarzan » to Truffauts « Lenfant sauvage », and Rudyard Kiplings « Jungle book ». The video is an attempt at capturing this decisive moment when the child lets go of its wilderness to become « civilized », and raises the nature/culture dichotomy, dear to the Enlightenment philosophers. 
",https://kadist.org/work/wild-boy/,"socialization.n.03,education.n.02,adolescent.n.01,family.n.04,domestic.a.03,child.n.01","Body, Identity, Community"
Pierre Leguillon,"Diane Arbus: A printed retrospective, 1960-1971"," End of 2008, Pierre Leguillon presented at Kadist Art Foundation the first retrospective of the works of Diane Arbus (1923-1971) organized in France since 1980, bringing together all the images commissioned to the New York photographer by the Anglo-American press in the 1960s. This exhibition, destined to tour in various locations, presents the original pages of the magazines, including Harpers Bazaar, Esquire, Nova and The Sunday Times Magazine. As Pierre Leguillon states on the exhbitions publication: The mythology surrounding Diane Arbus character is willingly set aside to offer a more neutral point of view on a more unfamiliar part of her work, although it was mass-distributed. Many of the characters portrayed in these commissioned works seem less sensational at first glance than the freaks that made Diane Arbus work so famous, since the retrospective MOMA organized in 1973 in New York, two years after her suicide. And yet, leafing through all her contributions for the press, the Diane Arbus method, her installing the model in an environment in such a particular way, emerges obviously. Long sitting sessions, sometimes repeated, were destined to allow the model to « let go », while he never stopped fixing the camera, straight forward. It is no doubt their rigorous construction that enables these images, still today, to be contemporary. 
",https://kadist.org/work/diane-arbus-a-printed-retrospective-1960-1971/,"magazine.n.01,retrospective.n.01,art_history.n.01,art_exhibition.n.01,rediscovery.n.01,archive.n.01","Time, Culture"
George Pfau,Decomposing Eternally," This work exemplifies George Pfaus interest in zombies and liminal embodiment. In different ways, zombies are present here as an icon of coming apart, yet they retain a persistent thereness. 
",https://kadist.org/work/decomposing-eternally/,"texture.n.01,disembody.v.01,decay.n.03,diffuse.s.01,human_body.n.01,thereness.n.01","Body, Materiality"
James Weeks,Man with Blue Tie," Both Head-Portrait with Red and Blue Background and Man with Blue Tie are classic examples of Weeks deftness of line, shape, and color. These two works illustrate his signature flattened style -a vast departure from figurative painting of the time- and hints of influence from modernist painters like Henri Matisse and Maynard Dixon, although with a somewhat darker tone. Both figures stare with with expressionless faces and hollow eyes. Weeks provides us with little visual information to distinguish the identities of these men. Are politicians, members of the jazz club scene that Weeks often depicted, or simply acquaintances that agreed to sit for him? Head-Portrait with Red and Blue Background and Man with Blue Tie are interesting examples of the Bay Area figurative painting movement in their contrast to the sunny landscapes of Elmer Bischoff and the abstract or non-objective works of Richard Diebenkorn. 
",https://kadist.org/work/man-with-blue-tie/,"san_francisco.n.01,deadpan.s.01,shallow.a.01,figural.s.01,matisse.n.01,blue.n.02",Materiality
Kan Xuan,Island," In four-channel video Island, a series of objects such as nail clippers, hairbrush, toothpaste, and house decorations are displayed with close-up shoots. Images are rendered in a highly polished and aesthetic manner, creating poetic visual ?ows. In front of each object, however, lies a coin, ranging from 2 Yuan, to 1 Pound, to 1 Euro or 1 Dollar, silently revealing the material value of these household supplies. Underneath elegant surface there is a deep sense of critical irony, elaborating by the contradictory nature of the cheap plastic items and their sophistic visual interpretation. Kan poignantly and metaphorically comments on the economic and production structure of today’s global market. The most in?uential visual spectacles can be generated by the most basic elements in the everyday. 
",https://kadist.org/work/island/,"commodity.n.01,mass_production.n.01,domesticity.n.02,superficial.s.03,spectacle.n.02,aesthetics.n.01",Economy
Pratchaya Phinthong,If I dig a very deep hole," In order to make  If I dig a very deep hole  (2007) the artist looked for the extreme geographical opposite of Paris when drawing a straight line throughout the globe.Then, he went to this place, the Chatham Islands in New Zealand, to photograph the full moon before coming back to Paris to take a picture of that same moon.  
This work brings together two diametrically opposite places, two singular experiences, two different moments and the same full moon. 
",https://kadist.org/work/if-i-dig-a-very-deep-hole/,"full_moon.n.01,moment.n.01,polarity.n.02,opposition.n.02,poetic.s.04,gesture.n.03","Nature, Time, Immaterial"
Jonathan Monk,Untitled (Rolled up),"  Untitled (rolled up) , is an abstract portrait of Owen Monk, the artists father and features an aluminum ring of 56.6 cm in diameter measuring 1.77 cm in circumference, the size of his father. Jonathan Monk bridges a conceptual art and his family privacy, and ironically ensures that there is no difference between Sol Lewitt and my mother, he does not know more than she do not know.  What is the status of the O-backed chair rail to the white cube? Monk gives us some clues. The O is an initial, the letter contains the first letter of Owen. The O is also a sign, the letter contains the restaurant sign Owen. The O of  Untitled (rolled up)  is thought of as an encrypted letter. The work, while it appears as a joke (?), plays upon everything. Monk questions the meaning of a work through non-conventional logic. 
",https://kadist.org/work/untitled-rolled-up/,"abstraction.n.04,portrait.n.02,fatherhood.n.01,materiality.n.02,humor.n.04,sign.n.01","Identity, Materiality"
Pablo Accinelli,Onde quer voce esteja (Wherever you may be)," In  Onde quer que voce esteja  (2011) Accinelli sets up a row of cardboard shipping tubes of varying heights and inscribes on them in black ink the words of the title, which translates in English as “Wherever you may be.” The words, while legible, seem like fragmented lines and shapes—almost but not quite a deconstruction of the text. Accinelli explores the relationship between objects as metaphors of their own materiality and as tools for conveying ideas. 
",https://kadist.org/work/onde-quer-voce-esteja-wherever-you-may-be/,"materiality.n.02,text.n.01,disconnected.s.02,language.n.01,metaphor.n.01,cardboard.n.01","Materiality, Language"
Jennifer Locke,Choke,"  Choke  documents the artist filming a wrestler “choking out” his teammate until he is unconscious. This closed circuit of dominance and submission between two powerful men, is echoed by the closed circuit of the video through which the viewer takes on the role of voyeur. The artist’s presence in the piece not only calls attention to its staging, but inverts the traditional power dynamic of the “male gaze” and gender roles. 
   
   
   
   
",https://kadist.org/work/choke/,"sex.n.04,wrestling.n.02,voyeurism.n.01,violence.n.01,gaze.n.01,film.v.01","Body, Conflict"
Robert Zhao Renhui,Expedition #46,"  Expedition #46  is a work from the series The Glacier Study Group, which consists of artists, scientists, activists, and enthusiasts of glacial and polar activity in the Artic Circle to conduct scientific investigation, data collection, and glacier sampling. Recent media attention on global warming and climate change has driven interest in increased glacial activity. The group spends long period of each year in the harsh Arctic environment to acquire in-depth knowledge of these changes while experiencing the landscape firsthand.  Expedition #46  presents voyeuristic images of human activity in expansive surreal glacial landscapes to elicit a sense of discovery in the viewer, who travels by-proxy via Zhao’s photographic series. The viewer is able to observe the Study Group’s journey in observing their environment and engage in critical reflection of the varying documentary spectatorship deployed in the visual discourse of environmentalism and scientific research. 
",https://kadist.org/work/expedition-46-from-the-series-the-glacier-study-group-2/,"landscape.n.03,climate_change.n.01,exploration.n.01,scientific_method.n.01,glacier.n.01,documentary.a.01",Environment
Fernanda Gomes,Untitled," For this floor based work, Gomes has taken two lengths of bamboo and tied them together using linen thread. The work is self-supporting and stands in a crack or a hole in the floor. The work suggests precariousness, frailty as well as humanity through its verticality, and its gentle sinuous form, referencing perhaps the work of Giacometti. Other works in the exhibition recalled the work of Mondrian with an emphasis on horizontal and vertical lines. The fact that this work deviates from an emphasis on the rectilinear should be seen within the context of Gomes’s constructivist routes and her interest in Arte Povera. Allowing the material to express its own inner nature is fundamental to her work. The modest nature of her art suggests a poetics of the immaterial. The standing sculpture, modest though it may be, articulates the space of the room, suggesting a near and a far. Gomes generally makes her work in situ, responding to the space the exhibition will occupy, the gallery thus becoming an extension of her studio. 
",https://kadist.org/work/untitled-14/,"humanness.n.01,nature.n.01,vulnerability.n.01,site.n.02,constructivist.n.01,self-sufficient.s.01","Body, Mind, Environment"
